Date,Open,High,Low,Close,Volume
11/12/2024,"146.78","149.65","146.01","148.29","198,634,703"
11/11/2024,"148.68","148.85","143.57","145.26","182,325,594"
11/08/2024,"148.77","149.77","146.26","147.63","175,665,797"
11/07/2024,"146.39","148.93","146.17","148.88","207,323,297"
11/06/2024,"142.96","146.49","141.96","145.61","242,043,906"
11/05/2024,"137.45","140.37","137.33","139.91","160,537,406"
11/04/2024,"137.21","138.96","135.57","136.05","187,528,188"
11/01/2024,"134.70","137.31","134.57","135.40","207,127,812"
10/31/2024,"137.60","137.61","132.11","132.76","270,039,625"
10/30/2024,"139.54","140.33","136.81","139.34","179,418,094"
10/29/2024,"140.29","142.26","138.90","141.25","157,593,594"
10/28/2024,"143.00","143.14","140.05","140.52","173,586,703"
10/25/2024,"140.93","144.13","140.80","141.54","205,122,094"
10/24/2024,"140.82","141.35","138.46","140.41","172,354,891"
10/23/2024,"142.03","142.43","137.46","139.56","285,929,969"
10/22/2024,"142.91","144.42","141.78","143.59","226,311,594"
10/21/2024,"138.13","143.71","138.00","143.71","264,554,500"
10/18/2024,"138.67","138.90","137.28","138.00","176,090,203"
10/17/2024,"139.34","140.89","136.87","136.93","306,435,906"
10/16/2024,"133.98","136.62","131.58","135.72","264,879,688"
10/15/2024,"137.87","138.57","128.74","131.60","377,831,000"
10/14/2024,"136.47","139.60","136.30","138.07","232,347,703"
10/11/2024,"134.01","135.78","133.66","134.80","170,209,500"
10/10/2024,"131.91","135.00","131.00","134.81","242,311,297"
10/09/2024,"134.11","134.52","131.38","132.65","246,191,594"
10/08/2024,"130.26","133.48","129.42","132.89","285,722,500"
10/07/2024,"124.99","130.64","124.95","127.72","346,250,219"
10/04/2024,"124.94","125.04","121.83","124.92","244,465,594"
10/03/2024,"120.92","124.36","120.34","122.85","277,118,031"
10/02/2024,"116.44","119.38","115.14","118.85","221,845,906"
10/01/2024,"121.77","122.44","115.79","117.00","302,094,500"
09/30/2024,"118.31","121.50","118.15","121.44","227,053,703"
09/27/2024,"123.97","124.03","119.26","121.40","271,009,219"
09/26/2024,"126.80","127.67","121.80","124.04","302,582,906"
09/25/2024,"122.02","124.94","121.61","123.51","284,692,906"
09/24/2024,"116.52","121.80","115.38","120.87","354,966,781"
09/23/2024,"116.55","116.99","114.86","116.26","206,228,500"
09/20/2024,"117.06","118.62","115.39","116.00","382,462,406"
09/19/2024,"117.35","119.66","117.25","117.87","293,506,406"
09/18/2024,"115.89","117.70","113.22","113.37","310,318,906"
09/17/2024,"118.17","118.80","114.83","115.59","231,925,906"
09/16/2024,"116.79","118.18","114.36","116.78","248,772,297"
09/13/2024,"119.08","119.96","117.60","119.10","238,358,297"
